name,year,selling_price,km_driven,fuel,seller_type,transmission,mileage,engine,max_power,seats
Honda City i DTEC VX,2014,18039,200000,Diesel,Individual,Manual,3.98,1498.0,98.6,5.0
Hyundai i20 2015-2017 Asta Option 1.2,2016,14300,29000,Petrol,Individual,Manual,5.38,1197.0,81.83,5.0
Maruti Wagon R LXI DUO BSIII,2007,2310,90000,LPG,Individual,Manual,3.23,1061.0,57.5,5.0
Mahindra Renault Logan 1.5 Diesel DLSX,2009,4400,176000,Diesel,Individual,Manual,5.88,1461.0,66.0,5.0
Tata Indigo CS LX (TDI) BS III,2013,4400,150000,Diesel,Individual,Manual,5.24,1396.0,69.0,5.0
Maruti Omni E MPI STD BS IV,2016,4840,90000,Petrol,Individual,Manual,5.95,796.0,34.2,8.0
Volkswagen Vento 1.6 Highline,2014,11000,70000,Petrol,Individual,Manual,6.65,1598.0,103.2,5.0
Mahindra Renault Logan 1.5 DLX Diesel,2007,3850,99000,Diesel,Individual,Manual,5.21,1461.0,65.0,5.0
Tata Tiago 1.2 Revotron XZ,2018,9900,5000,Petrol,Individual,Manual,4.19,1199.0,84.0,5.0
Chevrolet Optra Magnum 2.0 LT,2008,4620,90000,Diesel,Individual,Manual,6.05,1991.0,123.7,5.0
Maruti Ritz VDi,2011,5940,89000,Diesel,Individual,Manual,4.74,1248.0,73.9,5.0
Tata Indica V2 DLS TC,2006,2420,88000,Diesel,Individual,Manual,5.95,1405.0,62.0,5.0
Maruti Swift Dzire VDI,2015,10560,30000,Diesel,Individual,Manual,3.76,1248.0,74.0,5.0
Maruti Swift Dzire AMT ZDI,2016,14300,50000,Diesel,Individual,Automatic,3.76,1248.0,74.0,5.0
Maruti Swift Dzire VDI,2013,10560,80000,Diesel,Individual,Manual,4.27,1248.0,74.0,5.0
Hyundai i20 Asta Option 1.4 CRDi,2016,15400,40000,Diesel,Individual,Manual,4.44,1396.0,88.73,5.0
Maruti Ertiga VDI,2015,14300,110000,Diesel,Individual,Manual,4.81,1248.0,88.76,7.0
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2015,28600,48000,Diesel,Individual,Manual,5.08,1582.0,126.2,5.0
Volkswagen Jetta 2.0L TDI Highline AT,2016,29700,97000,Diesel,Individual,Automatic,5.9,1968.0,138.03,5.0
Volkswagen Vento 1.5 TDI Highline AT,2016,22000,60000,Diesel,Individual,Automatic,4.51,1498.0,108.6,5.0
Mercedes-Benz M-Class ML 350 4Matic,2011,37400,110000,Diesel,Individual,Automatic,0.0,2987.0,165.0,5.0
Toyota Yaris V CVT BSIV,2018,23760,12800,Petrol,Individual,Automatic,5.62,1496.0,105.5,5.0
Hyundai EON D Lite,2012,3740,40000,Petrol,Individual,Manual,4.74,814.0,55.2,5.0
Maruti Swift DDiS VDI,2017,13420,49000,Diesel,Individual,Manual,3.52,1248.0,74.0,5.0
Maruti Ritz VXi,2014,7700,25000,Petrol,Individual,Manual,5.41,1197.0,85.8,5.0
Maruti Alto 800 LXI,2016,5720,65000,Petrol,Individual,Manual,4.4,796.0,47.3,5.0
Fiat Linea 1.3 Multijet Emotion,2015,15400,20000,Diesel,Individual,Manual,4.9,1248.0,91.7,5.0
Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,2018,14916,17000,Petrol,Individual,Manual,5.32,999.0,75.0,5.0
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2015,17600,15000,Diesel,Individual,Manual,4.23,1248.0,88.5,5.0
Toyota Etios GD,2014,8800,120000,Diesel,Individual,Manual,4.24,1364.0,67.04,5.0
Hyundai i20 Magna,2010,6600,49000,Petrol,Individual,Manual,5.41,1197.0,80.0,5.0
Hyundai i20 2015-2017 Magna 1.2,2016,11440,29000,Petrol,Individual,Manual,5.38,1197.0,81.83,5.0
Nissan Terrano XV D Premium AMT,2017,18700,55000,Diesel,Individual,Automatic,5.1,1461.0,108.5,5.0
Mahindra Marazzo M8,2019,32119,5000,Diesel,Individual,Manual,5.78,1497.0,121.0,7.0
Tata Nexon 1.5 Revotorq XZ Plus,2017,18260,35000,Diesel,Individual,Manual,4.65,1497.0,108.5,5.0
Datsun GO T Option BSIV,2018,9460,5000,Petrol,Individual,Manual,4.85,1198.0,67.0,5.0
Ford EcoSport 1.5 TDCi Platinum Edition BSIV,2017,18700,60000,Diesel,Individual,Manual,4.39,1498.0,98.59,5.0
Maruti Swift Dzire ZXI,2017,14300,70000,Petrol,Individual,Manual,4.8,1197.0,83.14,5.0
Hyundai Verna CRDi,2008,2640,120000,Diesel,Individual,Manual,5.95,1493.0,110.0,5.0
Mahindra TUV 300 T8,2016,16059,65100,Diesel,Individual,Manual,5.41,1493.0,100.0,7.0
Maruti Ignis 1.2 AMT Delta BSIV,2019,11550,20000,Petrol,Individual,Automatic,4.79,1197.0,81.8,5.0
Hyundai i20 Active 1.4 SX,2015,13200,108000,Diesel,Individual,Manual,4.72,1396.0,88.73,5.0
Maruti Swift LXI,2019,11000,15000,Petrol,Individual,Manual,4.71,1197.0,81.8,5.0
Hyundai Santro Xing GLS,2009,3300,77000,Petrol,Individual,Manual,5.58,1086.0,62.1,5.0
Maruti Wagon R VXI BS IV,2015,9019,18500,Petrol,Individual,Manual,4.88,998.0,67.04,5.0
Mahindra TUV 300 T8,2016,13750,120000,Diesel,Individual,Manual,5.41,1493.0,100.0,7.0
Renault KWID RXT,2015,6380,15200,Petrol,Individual,Manual,3.97,799.0,53.3,5.0
Honda Mobilio V i VTEC,2015,11000,35000,Petrol,Individual,Manual,5.78,1497.0,117.3,7.0
Hyundai Verna 1.6 SX,2011,10450,80000,Diesel,Individual,Manual,4.48,1582.0,126.32,5.0
Hyundai EON Era Plus,2013,4180,70000,Petrol,Individual,Manual,4.74,814.0,55.2,5.0
Mahindra XUV500 W6 2WD,2014,16500,80000,Diesel,Individual,Manual,6.62,2179.0,140.0,7.0
Nissan Terrano XV 110 PS,2014,11550,120000,Diesel,Individual,Manual,5.26,1461.0,108.5,5.0
Chevrolet Cruze LTZ,2012,10890,82000,Diesel,Individual,Manual,5.78,1998.0,163.7,5.0
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,57750,9000,Diesel,Dealer,Automatic,7.35,1999.0,177.0,5.0
Lexus ES 300h,2019,113300,20000,Petrol,Dealer,Automatic,4.47,2487.0,214.56,5.0
Jaguar XF 2.0 Diesel Portfolio,2017,70400,45000,Diesel,Dealer,Automatic,5.17,1999.0,177.0,5.0
Tata Safari Storme EX,2015,11066,110000,Diesel,Individual,Manual,7.09,2179.0,147.94,7.0
Volvo XC40 D4 Inscription BSIV,2019,83600,20000,Diesel,Individual,Automatic,5.56,1969.0,190.0,5.0
Toyota Camry 2.5 Hybrid,2016,44000,68089,Petrol,Trustmark Dealer,Automatic,5.22,2494.0,157.7,5.0
Maruti Wagon R LXI,2013,4950,58343,Petrol,Trustmark Dealer,Manual,4.59,998.0,67.05,5.0
Maruti Baleno Alpha 1.3,2018,16279,38817,Diesel,Dealer,Manual,3.65,1248.0,74.0,5.0
Honda Jazz VX,2016,12100,56494,Petrol,Trustmark Dealer,Manual,5.49,1199.0,88.7,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,16500,79328,Diesel,Trustmark Dealer,Manual,7.7,2494.0,100.6,7.0
Maruti Swift AMT VVT VXI,2019,14300,5621,Petrol,Trustmark Dealer,Automatic,4.55,1197.0,81.8,5.0
Toyota Etios VX,2017,13750,25538,Petrol,Trustmark Dealer,Manual,5.96,1496.0,88.73,5.0
Maruti Swift AMT ZXI,2018,13200,69779,Petrol,Dealer,Automatic,4.55,1197.0,81.8,5.0
Hyundai Grand i10 1.2 CRDi Sportz,2017,9900,56290,Diesel,Dealer,Manual,4.17,1186.0,73.97,5.0
BMW X4 M Sport X xDrive20d,2019,118800,7500,Diesel,Dealer,Automatic,5.96,1995.0,190.0,5.0
BMW X4 M Sport X xDrive20d,2019,121000,8500,Diesel,Dealer,Automatic,5.96,1995.0,190.0,5.0
Honda Amaze V CVT Petrol BSIV,2019,17138,7032,Petrol,Trustmark Dealer,Automatic,5.26,1199.0,88.76,5.0
Skoda Rapid 1.6 MPI AT Elegance,2016,14190,11000,Petrol,Dealer,Automatic,6.99,1598.0,103.5,5.0
Volvo V40 D3 R-Design,2018,54450,2000,Diesel,Dealer,Automatic,5.95,1984.0,150.0,5.0
Honda City 1.5 V AT,2010,7062,60000,Petrol,Individual,Automatic,5.95,1497.0,118.0,5.0
Toyota Etios Liva 1.2 V Dual Tone,2017,12870,50000,Petrol,Individual,Manual,5.65,1197.0,78.9,5.0
Ford Figo Diesel EXI,2011,4950,70000,Diesel,Individual,Manual,5.0,1399.0,68.0,5.0
Honda Amaze E i-DTEC,2017,11000,70000,Diesel,Individual,Manual,3.88,1498.0,98.6,5.0
Hyundai i20 1.4 CRDi Asta,2011,7700,90000,Diesel,Individual,Manual,4.35,1396.0,90.0,5.0
Maruti Ertiga SHVS LDI Option,2016,16632,70000,Diesel,Individual,Manual,4.08,1248.0,88.5,7.0
Maruti Alto 800 VXI,2014,5280,50000,Petrol,Individual,Manual,4.4,796.0,47.3,5.0
Maruti Omni 8 Seater BSII,2012,1760,120000,Petrol,Individual,Manual,5.08,796.0,35.0,8.0
Hyundai i20 Active S Petrol,2019,17600,5000,Petrol,Individual,Manual,5.82,1197.0,81.86,5.0
Tata Hexa XE,2018,27500,25000,Diesel,Individual,Manual,5.68,2179.0,147.94,7.0
Mahindra Scorpio VLS 2.2 mHawk,2009,7040,80000,Diesel,Individual,Manual,8.3,2179.0,120.0,7.0
Hyundai Grand i10 Sportz,2017,11219,25000,Petrol,Individual,Manual,5.29,1197.0,82.0,5.0
Tata Zest Quadrajet 1.3 75PS XE,2019,14300,15000,Diesel,Individual,Manual,4.36,1248.0,74.0,5.0
Maruti Alto K10 2010-2014 VXI,2011,4620,35000,Petrol,Individual,Manual,4.78,998.0,67.1,5.0
Maruti Alto LXi,2008,2420,80000,Petrol,Individual,Manual,5.08,796.0,46.3,5.0
Tata Nexon 1.5 Revotorq XE,2017,14630,25000,Diesel,Individual,Manual,4.65,1497.0,108.5,5.0
Volkswagen Ameo 1.5 TDI Comfortline,2017,12210,52000,Diesel,Individual,Manual,4.62,1498.0,108.62,5.0
Volkswagen Ameo 1.5 TDI Comfortline,2017,12320,52000,Diesel,Individual,Manual,4.62,1498.0,108.62,5.0
Mahindra KUV 100 mFALCON D75 K6 Plus,2016,8250,80000,Diesel,Individual,Manual,3.95,1198.0,77.0,6.0
Toyota Fortuner 2.8 4WD AT BSIV,2017,64900,50000,Diesel,Individual,Automatic,6.65,2755.0,174.5,7.0
Maruti Swift Dzire VDI,2017,13310,127000,Diesel,Individual,Manual,3.52,1248.0,74.02,5.0
Honda WR-V i-VTEC VX,2017,15839,30000,Petrol,Individual,Manual,5.71,1199.0,88.7,5.0
Maruti Ertiga SHVS ZDI Plus,2017,17600,70000,Diesel,Individual,Manual,4.08,1248.0,88.5,7.0
Mahindra XUV500 W10 2WD,2017,29150,54000,Diesel,Individual,Manual,6.25,2179.0,140.0,7.0
Mitsubishi Pajero 2.8 SFX BSIII Single Tone,2011,13750,120000,Diesel,Individual,Manual,9.52,2835.0,116.9,6.0
Hyundai i20 1.4 CRDi Sportz,2011,7700,116500,Diesel,Individual,Manual,4.35,1396.0,90.0,5.0
Toyota Innova 2.5 G (Diesel) 8 Seater,2012,13200,145000,Diesel,Individual,Manual,7.7,2494.0,100.0,8.0
Hyundai i20 Sportz 1.2,2012,6600,120000,Petrol,Individual,Manual,5.41,1197.0,82.85,5.0
Tata New Safari DICOR 2.2 VX 4x2 BS IV,2011,5280,120000,Diesel,Individual,Manual,7.18,2179.0,138.1,7.0
Ford Figo 1.5D Trend MT,2016,8294,80000,Diesel,Individual,Manual,3.87,1498.0,99.0,5.0
Maruti Ertiga VXI,2013,9900,140000,Petrol,Individual,Manual,6.24,1373.0,93.7,7.0
Hyundai Verna Xi (Petrol),2008,3520,100000,Petrol,Individual,Manual,7.19,1599.0,103.2,5.0
Hyundai Xcent 1.2 VTVT E,2019,11550,100000,Petrol,Individual,Manual,4.97,1197.0,81.86,5.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,12100,168000,Diesel,Individual,Manual,7.81,2494.0,102.0,8.0
Chevrolet Cruze LTZ,2010,5940,120000,Diesel,Individual,Manual,5.46,1991.0,147.9,5.0
Toyota Etios GD,2016,12540,145000,Diesel,Individual,Manual,4.24,1364.0,67.05,5.0
Ford Figo Diesel Titanium,2011,4950,90000,Diesel,Individual,Manual,5.0,1399.0,68.0,5.0
Hyundai Xcent 1.2 VTVT S,2019,12980,90000,Petrol,Individual,Manual,4.97,1197.0,81.86,5.0
Jeep Compass 2.0 Longitude Option BSIV,2018,36850,80000,Diesel,Individual,Manual,5.85,1956.0,170.0,5.0
Ford Aspire Titanium BSIV,2019,17600,33000,Petrol,Dealer,Manual,5.15,1194.0,94.93,5.0
Chevrolet Sail 1.2 LS ABS,2014,9900,13500,Petrol,Individual,Manual,5.49,1199.0,82.4,5.0
Tata Indigo LX,2012,6600,80000,Diesel,Individual,Manual,5.88,1405.0,70.0,5.0
Hyundai i20 1.2 Spotz,2017,14190,20000,Petrol,Individual,Manual,5.38,1197.0,81.83,5.0
Maruti Swift Dzire VDI,2013,11440,58000,Diesel,Individual,Manual,4.27,1248.0,74.0,5.0
Hyundai EON Magna Plus,2013,4400,40000,Petrol,Individual,Manual,4.74,814.0,55.2,5.0
Honda City i VTEC V,2015,15400,30000,Petrol,Individual,Manual,5.75,1497.0,117.3,5.0
Maruti 800 AC,2000,990,50000,Petrol,Individual,Manual,6.21,796.0,37.0,4.0
Ford Figo Aspire 1.5 TDCi Ambiente,2016,10119,73000,Diesel,Individual,Manual,3.87,1498.0,99.0,5.0
Maruti Ritz VDi,2014,7150,90000,Diesel,Individual,Manual,4.31,1248.0,73.94,5.0
Maruti Wagon R VXI BS IV,2015,7700,50000,Petrol,Individual,Manual,4.88,998.0,67.04,5.0
Hyundai Verna 1.6 CRDI,2011,9680,80000,Diesel,Individual,Manual,4.48,1582.0,126.3,5.0
Hyundai i20 1.4 CRDi Magna,2011,7040,70000,Diesel,Individual,Manual,4.57,1396.0,90.0,5.0
Chevrolet Spark 1.0 LS,2011,3718,41000,Petrol,Individual,Manual,5.56,995.0,62.0,5.0
Volkswagen Polo Petrol Comfortline 1.2L,2013,7700,50000,Petrol,Individual,Manual,6.07,1198.0,73.9,5.0
Ford Classic 1.4 Duratorq Titanium,2014,7700,113226,Diesel,Dealer,Manual,5.08,1399.0,67.0,5.0
Ford Figo Diesel Celebration Edition,2013,6820,90000,Diesel,Individual,Manual,5.0,1399.0,68.1,5.0
Mahindra Scorpio M2DI,2010,9240,160500,Diesel,Individual,Manual,7.41,2179.0,115.0,5.0
Maruti Ciaz AT ZXi,2015,15070,30000,Petrol,Individual,Automatic,5.23,1373.0,91.1,5.0
Renault Duster 4x4,2014,12320,132000,Diesel,Individual,Manual,5.07,1461.0,108.45,5.0
Maruti Swift VDI,2013,10340,120000,Diesel,Individual,Manual,4.37,1248.0,74.0,5.0
Hyundai Verna Transform VTVT,2011,8360,80000,Petrol,Individual,Manual,6.17,1599.0,103.2,5.0
Mahindra Scorpio 1.99 S6 Plus,2015,14740,57000,Diesel,Individual,Manual,6.49,1997.0,120.0,7.0
Maruti Swift Dzire LXI 1.2 BS IV,2018,12100,5000,Petrol,Individual,Manual,4.55,1197.0,81.8,5.0
Hyundai Verna 1.6 VTVT SX,2016,16478,25000,Petrol,Individual,Manual,5.88,1591.0,121.3,5.0
Hyundai Creta 1.6 CRDi SX Option,2015,19778,80000,Diesel,Individual,Manual,5.08,1582.0,126.2,5.0
Chevrolet Optra Magnum 2.0 LS BSIII,2011,6380,88000,Diesel,Individual,Manual,6.05,1991.0,123.7,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,19139,217000,Diesel,Individual,Manual,7.7,2494.0,100.6,7.0
Datsun GO Plus A,2015,7700,60000,Petrol,Individual,Manual,4.85,1198.0,67.0,7.0
Maruti Swift Dzire VXI,2017,11000,43000,Petrol,Individual,Manual,4.8,1197.0,83.14,5.0
Skoda Rapid 1.5 TDI AT Ambition Plus,2014,8800,77000,Diesel,Individual,Automatic,4.62,1498.0,103.6,5.0
Renault KWID RXT,2016,5720,30000,Petrol,Individual,Manual,3.97,799.0,53.3,5.0
Maruti Alto 800 LXI,2015,4840,40000,Petrol,Individual,Manual,4.4,796.0,47.3,5.0
Chevrolet Enjoy TCDi LS 8 Seater,2014,4180,139000,Diesel,Individual,Manual,5.49,1248.0,73.8,8.0
Hyundai Grand i10 Magna,2016,8800,80000,Petrol,Individual,Manual,5.29,1197.0,82.0,5.0
Chevrolet Beat Diesel LT Option,2014,3740,76000,Diesel,Individual,Manual,3.93,936.0,56.3,5.0
Hyundai Elite i20 Magna Plus BSIV,2019,14300,3500,Petrol,Individual,Manual,5.38,1197.0,81.86,5.0
Maruti 800 AC BSIII,2007,1320,62000,Petrol,Individual,Manual,6.21,796.0,37.0,4.0
Tata New Safari 4X2,2007,6600,110000,Petrol,Individual,Manual,8.33,2092.0,127.0,7.0
Chevrolet Spark 1.0 LT,2012,2750,40000,Petrol,Individual,Manual,6.17,995.0,62.1,5.0
Mahindra XUV500 W6 2WD,2012,11000,1500000,Diesel,Individual,Manual,6.62,2179.0,140.0,7.0
Maruti Alto LX,2011,3740,70000,Petrol,Individual,Manual,5.08,796.0,46.3,5.0
Maruti Swift Dzire LDi,2012,6820,77000,Diesel,Individual,Manual,5.18,1248.0,73.9,5.0
Chevrolet Spark 1.0 LT,2011,2860,110000,Petrol,Individual,Manual,5.56,995.0,62.0,5.0
Maruti Wagon R VXI Optional,2016,10230,20000,Petrol,Individual,Manual,4.88,998.0,67.04,5.0
Mercedes-Benz E-Class E270 CDI,2005,17600,120005,Diesel,Individual,Automatic,9.09,2987.0,198.5,5.0
Maruti Alto K10 Knightracer,2012,5720,16830,Petrol,Individual,Manual,4.95,998.0,67.1,5.0
Mahindra Bolero 2011-2019 DI NON AC BS III SILVER,2013,11000,70000,Diesel,Individual,Manual,6.27,2523.0,63.0,9.0
Renault KWID 1.0 RXT 02 Anniversary Edition,2017,7150,38000,Petrol,Individual,Manual,4.35,999.0,67.0,5.0
Mahindra Bolero 2011-2019 DI NON AC BS III White,2013,8800,80000,Diesel,Individual,Manual,6.27,2523.0,63.0,9.0
Toyota Fortuner 2.8 4WD MT BSIV,2018,70400,50000,Diesel,Individual,Manual,7.02,2755.0,174.5,7.0
Tata Indica V2 DLE BSIII,2007,4400,50000,Diesel,Individual,Manual,5.59,1396.0,52.8,5.0
Mahindra Quanto C2,2013,9900,52000,Diesel,Individual,Manual,5.81,1493.0,100.0,7.0
Tata Indigo V BSIII,2012,5059,50000,Diesel,Individual,Manual,5.88,1405.0,70.0,5.0
Hyundai EON Magna Plus,2016,7480,30000,Petrol,Individual,Manual,4.74,814.0,55.2,5.0
Mahindra Bolero 2011-2019 SLE BSIII,2014,12100,103000,Diesel,Individual,Manual,6.27,2523.0,62.1,7.0
Ford Endeavour 3.0L 4X4 AT,2011,21450,93468,Diesel,Individual,Automatic,8.77,2953.0,153.86,7.0
Volvo XC40 D4 Inscription BSIV,2019,83600,20000,Diesel,Individual,Automatic,5.56,1969.0,190.0,5.0
Volkswagen Jetta 1.6 Trendline,2010,4950,80000,Petrol,Individual,Manual,7.14,1595.0,102.0,5.0
Ford Endeavour 3.2 Titanium AT 4X4,2018,71500,12000,Diesel,Individual,Automatic,9.17,3198.0,197.0,7.0
Tata Indigo eCS VX BSIV,2013,6160,70000,Diesel,Individual,Manual,4.0,1396.0,69.0,5.0
Honda Amaze V Petrol BSIV,2019,15400,4500,Petrol,Individual,Manual,5.13,1199.0,88.76,5.0
Tata Indigo CS eLX BS IV,2012,5698,35000,Diesel,Individual,Manual,4.34,1396.0,69.0,5.0
Toyota Fortuner 2.8 4WD AT BSIV,2018,70400,60000,Diesel,Individual,Automatic,6.65,2755.0,174.5,7.0
Mahindra XUV500 W10 1.99 mHawk,2018,30800,30000,Diesel,Individual,Manual,6.25,1997.0,140.0,7.0
Ford Figo 1.5P Titanium AT,2015,9152,40000,Petrol,Individual,Automatic,5.88,1499.0,110.4,5.0
Tata Manza ELAN Quadrajet BS III,2011,5500,70000,Diesel,Individual,Manual,5.26,1248.0,90.0,5.0
Tata Manza Aura (ABS) Quadrajet BS IV,2010,4620,120000,Diesel,Individual,Manual,4.73,1248.0,88.8,5.0
Mahindra Scorpio VLX 2WD BSIII,2008,6380,120000,Diesel,Individual,Manual,8.3,2179.0,120.0,8.0
Tata Indigo CS eLS BS IV,2012,4840,90000,Diesel,Individual,Manual,4.34,1396.0,69.0,5.0
Tata Indigo eCS LX BSIV,2012,5412,35000,Diesel,Individual,Manual,4.34,1396.0,69.0,5.0
Maruti Omni E MPI STD BS IV,2018,5720,30000,Petrol,Individual,Manual,5.95,796.0,34.2,8.0
Hyundai Creta 1.4 CRDi S,2018,23100,70000,Diesel,Individual,Manual,4.68,1396.0,88.7,5.0
Tata Manza Club Class Quadrajet90 LX,2012,6380,60000,Diesel,Individual,Manual,4.76,1248.0,88.76,5.0
Tata Indigo eCS VX BSIV,2013,6820,70000,Diesel,Individual,Manual,4.0,1396.0,69.0,5.0
Hyundai i20 1.2 Asta,2018,15400,6000,Petrol,Individual,Manual,5.38,1197.0,81.83,5.0
Maruti Swift VXI Optional,2016,12100,20000,Petrol,Individual,Manual,4.9,1197.0,81.8,5.0
Tata Indigo CS LX (TDI) BS-III,2017,9900,70000,Diesel,Individual,Manual,5.24,1405.0,69.01,5.0
Honda City i VTEC VX,2016,17006,65000,Petrol,Individual,Manual,5.62,1497.0,117.3,5.0
Tata Tiago 1.2 Revotron XZ,2017,9900,25000,Petrol,Individual,Manual,4.19,1199.0,84.0,5.0
Maruti Eeco 5 Seater AC BSIV,2019,9019,10000,Petrol,Individual,Manual,6.51,1196.0,73.0,5.0
Maruti 800 Std MPFi,2003,990,35000,Petrol,Individual,Manual,6.21,796.0,37.0,4.0
Nissan Teana XL,2014,13200,80000,Petrol,Individual,Automatic,9.03,2496.0,179.5,5.0
Chevrolet Beat LT,2010,5500,63000,Petrol,Individual,Manual,5.38,1199.0,79.4,5.0
Tata Indica V2 DLS TC,2008,1540,100000,Diesel,Individual,Manual,5.95,1405.0,62.0,5.0
Honda Amaze S i-VTEC,2019,15180,1303,Petrol,Dealer,Manual,5.62,1198.0,86.7,5.0
Audi Q5 35TDI Premium Plus,2018,87450,31800,Diesel,Dealer,Automatic,5.88,1968.0,188.0,5.0
Lexus ES 300h,2019,113300,20000,Petrol,Dealer,Automatic,4.47,2487.0,214.56,5.0
Jaguar XF 2.0 Diesel Portfolio,2017,70400,45000,Diesel,Dealer,Automatic,5.17,1999.0,177.0,5.0
Jeep Wrangler 2016-2019 3.6 4X4,2017,90200,17000,Petrol,Individual,Automatic,10.53,3604.0,280.0,5.0
Toyota Yaris V BSIV,2018,22000,4295,Petrol,Trustmark Dealer,Manual,5.85,1496.0,105.5,5.0
Toyota Yaris V BSIV,2018,22000,5229,Petrol,Trustmark Dealer,Manual,5.85,1496.0,105.5,5.0
Toyota Camry 2.5 Hybrid,2016,44000,68089,Petrol,Trustmark Dealer,Automatic,5.22,2494.0,157.7,5.0
Maruti Ciaz 1.3 Alpha,2018,20350,23712,Diesel,Trustmark Dealer,Manual,3.56,1248.0,88.5,5.0
Honda Jazz VX,2016,12100,56494,Petrol,Trustmark Dealer,Manual,5.49,1199.0,88.7,5.0
Maruti Wagon R VXI BS IV,2018,9460,16589,Petrol,Trustmark Dealer,Manual,4.88,998.0,67.04,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,16500,79328,Diesel,Trustmark Dealer,Manual,7.7,2494.0,100.6,7.0
Honda City i VTEC V,2016,14850,53201,Petrol,Trustmark Dealer,Manual,5.62,1497.0,117.3,5.0
Maruti Baleno Delta,2017,12540,25272,Petrol,Trustmark Dealer,Manual,4.76,1197.0,81.8,5.0
Maruti Vitara Brezza ZDi Plus,2017,18700,53619,Diesel,Trustmark Dealer,Manual,4.12,1248.0,88.5,5.0
BMW X4 M Sport X xDrive20d,2019,118800,7500,Diesel,Dealer,Automatic,5.96,1995.0,190.0,5.0
BMW X4 M Sport X xDrive20d,2019,121000,8500,Diesel,Dealer,Automatic,5.96,1995.0,190.0,5.0
Honda Amaze V CVT Petrol BSIV,2019,17138,7032,Petrol,Trustmark Dealer,Automatic,5.26,1199.0,88.76,5.0
Ford Ecosport 1.5 Petrol Ambiente,2018,14080,6001,Petrol,Dealer,Manual,6.29,1496.0,120.69,5.0
Tata Indigo CS LS (TDI) BS-III,2013,5500,80000,Diesel,Individual,Manual,5.24,1405.0,69.01,5.0
Renault Duster 110PS Diesel RxZ,2018,27500,12000,Diesel,Individual,Manual,5.1,1461.0,108.45,5.0
Ford EcoSport 1.5 Petrol Titanium BSIV,2017,19558,25000,Petrol,Individual,Manual,5.88,1497.0,121.31,5.0
Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2017,16500,40000,Diesel,Individual,Manual,4.44,1396.0,88.73,5.0
Maruti Swift Ldi BSIV,2010,7040,130000,Diesel,Individual,Manual,5.62,1248.0,75.0,5.0
Skoda Yeti Ambition 4WD,2011,13200,202000,Diesel,Individual,Manual,5.66,1968.0,138.08,5.0
Maruti Ciaz S 1.3,2018,22000,40000,Diesel,Individual,Manual,3.56,1248.0,88.5,5.0
Maruti Zen LX,2000,2420,70000,Petrol,Individual,Manual,5.78,993.0,60.0,5.0
Honda City 2017-2020 GXi,2008,5500,120000,Petrol,Individual,Manual,5.65,1497.0,78.0,5.0
Maruti Swift Dzire VDI,2015,13200,60000,Diesel,Individual,Manual,3.76,1248.0,74.0,5.0
Maruti Zen Estilo LXI BS IV,2009,3630,60000,Petrol,Individual,Manual,5.26,998.0,67.1,5.0
Maruti Alto LXI,2004,2596,60000,Petrol,Individual,Manual,5.08,796.0,46.3,5.0
Maruti Baleno Delta 1.3,2016,15400,78000,Diesel,Individual,Manual,3.65,1248.0,74.0,5.0
Renault Duster 85PS Diesel RxL Optional,2013,12870,80000,Diesel,Individual,Manual,4.89,1461.0,83.8,5.0
Maruti Alto LXi,2006,2640,120000,Petrol,Individual,Manual,5.08,796.0,46.3,5.0
Maruti 800 Std MPFi,2003,1430,90000,Petrol,Individual,Manual,6.21,796.0,37.0,4.0
Maruti Alto LX,2006,3300,100000,Petrol,Individual,Manual,5.08,796.0,46.3,5.0
Maruti Alto Std,2009,3300,70000,Petrol,Individual,Manual,5.08,796.0,46.3,5.0
Hyundai Accent VIVA CRDi,2004,3740,160000,Diesel,Individual,Manual,7.63,1493.0,82.0,5.0
Mahindra Scorpio 2.6 CRDe,2006,5500,120000,Diesel,Individual,Manual,9.52,2179.0,120.0,8.0
Hyundai Accent CRDi,2005,2200,100000,Diesel,Individual,Manual,7.63,1493.0,82.0,5.0
Maruti Ertiga VDI,2013,13178,60000,Diesel,Individual,Manual,4.81,1248.0,88.76,7.0
Chevrolet Cruze LTZ,2010,5500,135000,Diesel,Individual,Manual,5.46,1991.0,147.9,5.0
Maruti Swift VXI Optional,2016,12540,90000,Petrol,Individual,Manual,4.9,1197.0,81.8,5.0
Volkswagen Polo Diesel Highline 1.2L,2013,9680,75000,Diesel,Individual,Manual,4.53,1199.0,73.9,5.0
Toyota Innova 2.5 E Diesel MS 7-seater,2005,6600,185000,Diesel,Individual,Manual,8.77,2494.0,100.6,7.0
Nissan Micra XV CVT,2015,6600,71717,Petrol,Individual,Automatic,5.17,1198.0,76.0,5.0
Mahindra Scorpio VLX 2WD ABS AT BSIII,2011,11000,150000,Diesel,Individual,Automatic,8.48,2179.0,120.0,8.0
